origin,destination,route,raw_aircraft_type,openap_type,year,number_of_trips,total_distance_km,total_fuel_kg,total_energy_mwh,total_co2_kg,total_nox_kg,average_flight_distance_km,average_fuel_kg_per_flight,fuel_kg_per_km,energy_mwh_per_km,co2_kg_per_km
EDDH,EDDL,EDDH-EDDL,A320,A320,2025,81,27462.4155403829,149198.1438610029,1782.088940561979,471466.1346007692,0.0,339.042167165221,1841.9523933457149,5.4328121152201705,0.06489192248735202,17.16768628409574
EDDH,EDDL,EDDH-EDDL,A320,A320,2026,130,44075.48173147873,239453.81113494292,2860.142744111818,756674.0431864198,0.0,339.042167165221,1841.9523933457149,5.4328121152201705,0.06489192248735202,17.16768628409574
EDDH,EDDL,EDDH-EDDL,A321,A321,2025,10,3390.4216716522096,21470.215576153736,256.4497971596141,67845.88122064581,0.0,339.042167165221,2147.0215576153737,6.332609231373553,0.07563949915251744,20.011045171140427
EDDH,EDDL,EDDH-EDDL,A321,A321,2026,9,3051.379504486989,19323.194018538365,230.80481744365267,61061.293098581235,0.0,339.042167165221,2147.0215576153737,6.332609231373553,0.07563949915251743,20.011045171140427
EDDH,EDDM,EDDH-EDDM,A20N,A20N,2025,166,99236.86475708455,281705.40457592916,3364.8145546569326,890189.0784599362,0.0,597.8124382956901,1697.020509493549,2.838717297906352,0.03390690105832588,8.970346661384074
EDDH,EDDM,EDDH-EDDM,A20N,A20N,2026,268,160213.73346324495,454801.4965442712,5432.35120872324,1437172.729079897,0.0,597.8124382956901,1697.0205094935493,2.838717297906352,0.033906901058325875,8.970346661384072
EDDH,EDDM,EDDH-EDDM,A21N,A21N,2025,51,30488.434353080193,101914.05489787723,1217.3067668357558,322048.41347729205,0.0,597.8124382956901,1998.3148019191613,3.3427119844079836,0.0399268375915398,10.562969870729228
EDDH,EDDM,EDDH-EDDM,A21N,A21N,2026,129,77117.80454014402,257782.6094475718,3079.070057290441,814593.0458543269,0.0,597.8124382956901,1998.3148019191613,3.3427119844079836,0.0399268375915398,10.562969870729228
EDDH,EDDM,EDDH-EDDM,A319,A319,2025,210,125540.61204209492,545270.3442008487,6512.951333510137,1723054.2876746817,0.0,597.8124382956901,2596.52544857547,4.343378093600616,0.051879238340229575,13.725074775777944
EDDH,EDDM,EDDH-EDDM,A319,A319,2026,385,230157.78874384068,999662.2977015559,11940.410778101917,3158932.860736917,0.0,597.8124382956901,2596.52544857547,4.343378093600616,0.051879238340229575,13.725074775777946
EDDH,EDDM,EDDH-EDDM,A320,A320,2025,550,328796.84106262954,1529107.967746192,18264.345170301734,4831981.178077966,0.0,597.8124382956901,2780.196304993076,4.650616358734803,0.05554902872933236,14.695947693601976
EDDH,EDDM,EDDH-EDDM,A320,A320,2026,696,416077.4570538003,1935016.628275181,23112.698615509107,6114652.545349572,0.0,597.8124382956901,2780.196304993076,4.650616358734803,0.055549028729332366,14.695947693601976
EDDH,EDDM,EDDH-EDDM,A321,A321,2025,602,359883.0878540054,1951872.8641597764,23314.036988575106,6167918.250744893,0.0,597.8124382956901,3242.31372784016,5.423630423421279,0.06478225227975415,17.138672138011238
EDDH,EDDM,EDDH-EDDM,A321,A321,2026,1116,667158.6811379901,3618422.1202696185,43220.041992109334,11434213.900051994,0.0,597.8124382956901,3242.31372784016,5.423630423421278,0.06478225227975415,17.138672138011238
EDDH,EDDM,EDDH-EDDM,A359,A359,2025,1,597.8124382956901,7548.464570255495,90.16221570027398,23853.148042007368,0.0,597.8124382956901,7548.464570255495,12.626810830125072,0.15082024047093837,39.90072222319523
EDDH,EDDN,EDDH-EDDN,A319,A319,2025,3,1392.2126364905257,6425.188428489805,76.74530622918378,20303.595434027786,0.0,464.0708788301752,2141.7294761632684,4.615091301488507,0.05512470165666827,14.58368851270368
EDDH,EDDP,EDDH-EDDP,A21N,A21N,2026,1,286.9375631695157,971.502737823997,11.604060479564408,3069.9486515238304,0.0,286.9375631695157,971.502737823997,3.3857635336857475,0.040441064430135315,10.699012766446963
