ID,Vessel Type,Operator,Operator Country,Status,Build Date,Segment,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,imo,real_name,data_source
31,Container Ship,Hapag-Lloyd AG,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9450442,FRANKFURT EXPRESS,mrv_or_finaldata_verified
32,Container Ship,Hapag-Lloyd AG,Germany,Active,2007.0,deepsea,20000,19.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9320702,TSINGTAO EXPRESS,mrv_or_finaldata_verified
33,Container Ship,Hapag-Lloyd AG,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9450430,BUDAPEST EXPRESS,mrv_or_finaldata_verified
34,Container Ship,Hapag-Lloyd AG,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9450404,SOFIA EXPRESS,mrv_or_finaldata_verified
35,Container Ship,CPO Cadiz Offen Reederei,Germany,Active,2011.0,deepsea,20000,15.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9480203,MSC CADIZ,mrv_or_finaldata_verified
36,Container Ship,CPO Vigo Offen Reederei,Germany,Active,2012.0,deepsea,20000,14.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9480227,MSC VIGO,mrv_or_finaldata_verified
37,Container Ship,Wiking Reederei Tamke GmbH,Germany,Active,2016.0,deepsea,20000,10.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9708382,WIKING,mrv_or_finaldata_verified
38,Oil Products Tanker,Seapike GmbH & Co KG,Germany,Active,2009.0,regional,14000,17.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9423449,SEAPIKE,mrv_or_finaldata_verified
39,General Cargo Ship,Purple Beach Sg GmbH & Co,Germany,Active,1998.0,regional,12000,28.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9138135,PURPLE    BEACH,mrv_or_finaldata_verified
40,Oil Products Tanker,"TMS ""Seaconger"" GmbH & Co KG",Germany,Active,2005.0,regional,14000,21.0,Hamburg,marine_diesel_regional,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9352298,SEACONGER,mrv_or_finaldata_verified
